epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1222.2,1.11624,0.76355,1.12359,0.72083,0.82707,0.84839,0.58269,1.14124,0.83061,1.17743,0.000848969,0.000848969,0.000848969
43,1251.41,1.10241,0.80075,1.10673,0.86318,0.78976,0.89589,0.62774,1.13419,0.67313,1.18004,0.000834822,0.000834822,0.000834822
44,1280.53,1.11044,0.74883,1.12323,0.863,0.78653,0.89939,0.61979,1.12262,0.691,1.1767,0.000820675,0.000820675,0.000820675
45,1309.67,1.09045,0.72612,1.10728,0.80135,0.81368,0.88104,0.60592,1.16035,0.71846,1.19121,0.000806528,0.000806528,0.000806528
46,1338.76,1.10307,0.75329,1.11343,0.79462,0.84507,0.89287,0.60779,1.18026,0.68326,1.19524,0.00079238,0.00079238,0.00079238
47,1367.91,1.10326,0.73113,1.12131,0.85276,0.79397,0.89491,0.62281,1.16247,0.65592,1.19333,0.000778233,0.000778233,0.000778233
48,1397.08,1.12033,0.72637,1.12528,0.90113,0.80127,0.91064,0.62868,1.14118,0.63851,1.17725,0.000764086,0.000764086,0.000764086
49,1426.21,1.08563,0.70717,1.10516,0.84333,0.82038,0.89652,0.62613,1.15104,0.64528,1.19437,0.000749939,0.000749939,0.000749939
50,1455.25,1.08948,0.72212,1.11378,0.86919,0.82664,0.89315,0.61779,1.15814,0.68208,1.18285,0.000735792,0.000735792,0.000735792
51,1484.33,1.09106,0.70767,1.11256,0.88645,0.81294,0.91332,0.63473,1.14447,0.63729,1.20229,0.000721645,0.000721645,0.000721645
52,1513.41,1.09009,0.71023,1.11901,0.79582,0.83649,0.8917,0.61719,1.16743,0.69994,1.18623,0.000707498,0.000707498,0.000707498
53,1542.42,1.07371,0.67871,1.10662,0.85401,0.78783,0.88956,0.60728,1.16413,0.6985,1.19769,0.000693351,0.000693351,0.000693351
54,1571.46,1.11619,0.71703,1.12794,0.82379,0.86324,0.90781,0.62626,1.14675,0.65493,1.18601,0.000679204,0.000679204,0.000679204
55,1600.55,1.0795,0.70512,1.11508,0.86384,0.82824,0.90972,0.63298,1.12254,0.6286,1.17445,0.000665057,0.000665057,0.000665057
56,1629.54,1.0739,0.70269,1.08982,0.81963,0.82165,0.90624,0.6211,1.18813,0.71698,1.20399,0.000650909,0.000650909,0.000650909
57,1658.69,1.06806,0.6803,1.09226,0.85362,0.8245,0.90254,0.63637,1.13592,0.65506,1.18847,0.000636762,0.000636762,0.000636762
58,1687.8,1.05958,0.65749,1.09814,0.82522,0.87234,0.90922,0.63031,1.17368,0.64619,1.20845,0.000622615,0.000622615,0.000622615
59,1716.9,1.07081,0.66838,1.10258,0.853,0.82987,0.91554,0.64179,1.1394,0.62603,1.19467,0.000608468,0.000608468,0.000608468
60,1746.02,1.07065,0.68035,1.09462,0.84938,0.83842,0.90978,0.62528,1.18399,0.63266,1.21263,0.000594321,0.000594321,0.000594321
61,1775.21,1.04455,0.64912,1.08811,0.79899,0.86879,0.90489,0.62784,1.17387,0.65585,1.21997,0.000580174,0.000580174,0.000580174
62,1804.31,1.06806,0.64654,1.09809,0.86206,0.76382,0.91111,0.63303,1.17898,0.65918,1.2196,0.000566027,0.000566027,0.000566027
63,1833.4,1.06468,0.64885,1.10207,0.89683,0.82377,0.91314,0.64443,1.127,0.63566,1.17987,0.00055188,0.00055188,0.00055188
64,1862.49,1.03995,0.64053,1.08972,0.85625,0.84399,0.90856,0.63622,1.14451,0.63997,1.19425,0.000537733,0.000537733,0.000537733
65,1891.49,1.04389,0.62797,1.09619,0.84836,0.82558,0.91135,0.63901,1.12133,0.61928,1.17228,0.000523586,0.000523586,0.000523586
66,1920.57,1.0365,0.64423,1.08671,0.84812,0.84222,0.91035,0.63932,1.15283,0.62092,1.19354,0.000509438,0.000509438,0.000509438
67,1949.62,1.04298,0.63575,1.08872,0.88645,0.80912,0.91819,0.64483,1.19337,0.63944,1.21526,0.000495291,0.000495291,0.000495291
68,1978.62,1.02411,0.63278,1.07997,0.87416,0.8385,0.90667,0.63023,1.12921,0.63741,1.17779,0.000481144,0.000481144,0.000481144
69,2007.64,1.02804,0.63264,1.08659,0.83082,0.84071,0.90299,0.63029,1.1613,0.63643,1.19728,0.000466997,0.000466997,0.000466997
70,2036.76,1.02856,0.62474,1.07945,0.89745,0.80448,0.90247,0.63181,1.16801,0.63247,1.20718,0.00045285,0.00045285,0.00045285
71,2065.85,1.04237,0.63879,1.07972,0.84729,0.85258,0.9082,0.62643,1.16259,0.64833,1.2075,0.000438703,0.000438703,0.000438703
72,2094.9,1.00995,0.60551,1.07329,0.86128,0.8131,0.90836,0.62476,1.16561,0.65094,1.20416,0.000424556,0.000424556,0.000424556
73,2123.99,1.00204,0.61095,1.07317,0.91829,0.81466,0.92159,0.63649,1.16323,0.60579,1.20347,0.000410409,0.000410409,0.000410409
74,2153.1,1.01512,0.63155,1.08101,0.88772,0.8183,0.92187,0.63266,1.16869,0.62111,1.21036,0.000396262,0.000396262,0.000396262
75,2182.14,1.01534,0.60835,1.07168,0.85731,0.8466,0.9218,0.64748,1.13561,0.62596,1.18973,0.000382115,0.000382115,0.000382115
76,2211.3,0.99268,0.591,1.06372,0.88906,0.85187,0.91364,0.63957,1.1471,0.59215,1.20478,0.000367967,0.000367967,0.000367967
77,2240.38,1.00534,0.60866,1.07097,0.88813,0.81752,0.92678,0.64497,1.12518,0.58655,1.18471,0.00035382,0.00035382,0.00035382
78,2269.41,0.98864,0.56398,1.06634,0.9161,0.8235,0.92593,0.64466,1.14032,0.60088,1.19644,0.000339673,0.000339673,0.000339673
79,2298.56,0.99253,0.58101,1.06234,0.89121,0.82834,0.91874,0.64923,1.20484,0.60184,1.22348,0.000325526,0.000325526,0.000325526
80,2327.77,0.97691,0.58025,1.05865,0.92393,0.79811,0.91979,0.64258,1.17552,0.60655,1.2113,0.000311379,0.000311379,0.000311379
81,2356.93,0.98416,0.5644,1.05809,0.8512,0.84002,0.92375,0.64861,1.15733,0.59362,1.21079,0.000297232,0.000297232,0.000297232
82,2386.1,1.01259,0.60459,1.07273,0.88343,0.86483,0.92534,0.64338,1.17117,0.59324,1.21201,0.000283085,0.000283085,0.000283085
83,2415.38,0.97101,0.5477,1.05261,0.92993,0.85606,0.92485,0.65045,1.16416,0.58402,1.20861,0.000268938,0.000268938,0.000268938
84,2444.57,0.97267,0.58405,1.06249,0.94451,0.84648,0.92146,0.64298,1.16694,0.583,1.21889,0.000254791,0.000254791,0.000254791
85,2473.7,0.9661,0.55629,1.05362,0.90685,0.86415,0.92386,0.64661,1.15771,0.58179,1.20683,0.000240644,0.000240644,0.000240644
