Method,Test Accuracy (%),Precision,Recall,F1-Score
Linear Evaluation,58.590308370044056,56.810579151327886,58.590308370044056,54.596043445158045
Full Fine-tuning,90.30837004405286,90.32817070773643,90.30837004405286,90.31316728254917
